,Title,Director,Actors,Rating,Revenue (Millions),fb_likes,yt_likes_ratio
0,Guardians of the Galaxy,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",8.1,333.13,3994847,28.777908343125734
1,Prometheus,Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",7.0,126.46,12543,16.858131487889274
2,Split,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula",7.3,138.12,620940,15.179878048780488
3,Sing,Christophe Lourdelet,"Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",7.2,270.32,1340802,17.436348408710217
4,Suicide Squad,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis",6.2,325.02,7071335,39.28284591881275
5,The Great Wall,Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",6.1,45.13,270994,4.246348797250859
6,La La Land,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",8.3,151.06,1113950,20.090139442231077
7,Mindhorn,Sean Foley,"Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh",6.4,,726123,10.290076335877863
8,The Lost City of Z,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",7.1,8.01,23052,13.09934497816594
9,Passengers,Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne",7.0,100.01,520225,21.411422708618332
10,Fantastic Beasts and Where to Find Them,David Yates,"Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler",7.5,234.02,3304071,56.265252976190474
11,Hidden Figures,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner",7.8,169.27,626294,14.355799929052855
12,Rogue One,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",7.9,532.17,184030,24.99214792299899
13,Moana,Ron Clements,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",7.7,248.75,2323298,19.058985090243265
14,Colossal,Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson",6.4,2.87,9670,11.148026315789474
15,The Secret Life of Pets,Chris Renaud,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell",6.6,368.31,2873114,17.110085227272727
16,Hacksaw Ridge,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer",8.2,67.12,437719,36.713235294117645
17,Jason Bourne,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel",6.7,162.16,2561621,34.32116004296456
18,Lion,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",8.1,51.69,232444,36.72013820335637
19,Arrival,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg",8.0,100.5,189011,20.041749502982107
20,Gold,Stephen Gaghan,"Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll",6.7,7.22,18408,20.93144208037825
21,Manchester by the Sea,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges",7.9,47.7,117299,18.21555367709214
22,Hounds of Love,Ben Young,"Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter",6.7,,4584,8.417840375586854
23,Trolls,Walt Dohrn,"Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse",6.5,153.69,737894,4.865066225165563
24,Independence Day: Resurgence,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe",5.3,103.14,1627585,15.596547100234663
25,Paris pieds nus,Dominique Abel,"Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard",6.8,,1769,4.666666666666667
26,Bahubali: The Beginning,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia",8.3,6.5,4203211,8.537993920972644
27,Dead Awake,Phillip Guzman,"Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty",4.7,0.01,1309,9.914285714285715
28,Bad Moms,Jon Lucas,"Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate",6.2,113.08,1065131,5.529095509171411
29,Assassin's Creed,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson",5.9,54.65,1333779,19.082327378078222
30,Why Him?,John Hamburg,"Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer",6.3,60.31,165568,39.86654478976234
31,Nocturnal Animals,Tom Ford,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson",7.5,10.64,105606,22.476697736351532
32,X-Men: Apocalypse,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",7.1,155.33,14328360,15.389494658770133
33,Deadpool,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",8.0,363.02,6884183,21.03347788378144
34,Resident Evil: The Final Chapter,Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",5.6,26.84,10492026,13.1598942847704
35,Captain America: Civil War,Anthony Russo,"Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan",7.9,408.08,16289765,22.015409018808068
36,Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",8.6,187.99,1866094,38.198019801980195
37,Doctor Strange,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",7.6,232.6,1275000,32.65474632940835
38,The Magnificent Seven,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio",6.9,93.38,360857,15.379285714285714
39,5/25/1977,Patrick Read Johnson,"John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn",7.1,,2765,39.5
40,Sausage Party,Greg Tiernan,"Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell",6.3,97.66,1039097,8.514375811537748
41,Moonlight,Barry Jenkins,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",7.5,27.85,358122,14.986842105263158
42,Don't Fuck in the Woods,Shawn Burkett,"Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White",2.7,,2391,0.41702127659574467
43,The Founder,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",7.2,12.79,51732,22.954968944099377
44,Lowriders,Ricardo de Montreuil,"Gabriel Chavarria, Demián Bichir, Theo Rossi,Tony Revolori",6.3,4.21,228981,9.886644219977553
45,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush",6.7,241.06,24278357,34.839005235602095
46,Miss Sloane,John Madden,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg",7.3,3.44,29130,2.72964509394572
47,Fallen,Scott Hicks,"Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine",5.6,,1202438,37.29457364341085
48,Star Trek Beyond,Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",7.1,158.8,3770920,20.2291296625222
49,The Last Face,Sean Penn,"Charlize Theron, Javier Bardem, Adèle Exarchopoulos,Jared Harris",3.7,,3168,47.21895006402049
50,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",8.1,936.63,19614204,32.11809420388218
51,Underworld: Blood Wars,Anna Foerster,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver",5.8,30.35,7851464,17.221337579617835
52,Mother's Day,Garry Marshall,"Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis",5.6,32.46,165010,14.419480015521925
53,John Wick,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",7.2,43.0,1235925,26.887147335423197
54,The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine",9.0,533.32,19379039,54.52715654952077
55,Silence,Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano",7.3,7.08,269233,18.27180527383367
56,Don't Breathe,Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",7.2,89.21,411423,24.807257120561843
57,Me Before You,Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance",7.4,56.23,2655472,62.05275229357798
58,Their Finest,Lone Scherfig,"Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston",7.0,3.18,4485,32.21031746031746
59,Sully,Clint Eastwood,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey",7.5,125.07,279481,26.599514563106798
60,Batman v Superman: Dawn of Justice,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",6.7,330.25,4837477,24.39798834780697
61,The Autopsy of Jane Doe,André Øvredal,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton",6.8,,774,24.346198830409357
62,The Girl on the Train,Tate Taylor,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux",6.5,75.31,326434,24.18016194331984
63,Fifty Shades of Grey,Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford",4.1,166.15,14798639,6.664921465968586
64,The Prestige,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",8.5,53.08,965058,0.0
65,Kingsman: The Secret Service,Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine",7.7,128.25,1360373,27.489085545722713
66,Patriots Day,Peter Berg,"Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman",7.4,31.86,240948,2.978830378406986
67,Mad Max: Fury Road,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",8.1,153.63,1580806,18.438635899530325
68,Wakefield,Robin Swicord,"Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara",7.5,0.01,290,29.584795321637426
69,Deepwater Horizon,Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",7.2,61.28,255794,13.967952199891364
70,The Promise,Terry George,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho",5.9,,111966,0.0
71,Allied,Robert Zemeckis,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim",7.1,40.07,222520,25.991561181434598
72,A Monster Calls,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell",7.5,3.73,68627,30.84620836286322
73,Collateral Beauty,David Frankel,"Will Smith, Edward Norton, Kate Winslet, Michael Peña",6.8,30.98,299636,22.966047985513807
74,Zootopia,Byron Howard,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",8.1,341.26,1332700,41.42111801242236
75,Pirates of the Caribbean: At World's End,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush",7.1,309.4,8974,55.082191780821915
76,The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner",8.1,623.28,14511709,45.06398748611193
77,Inglourious Basterds,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent",8.3,120.52,113467,16.30958904109589
78,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",7.3,423.03,24278358,26.32075471698113
79,Ghostbusters,Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",5.3,128.34,3019983,0.27976813900556985
80,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",8.8,292.57,10855764,42.40816326530612
81,Captain Fantastic,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso",7.9,5.88,76659,20.014101057579317
82,The Wolf of Wall Street,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey",8.2,116.87,2365301,21.892987582176772
83,Gone Girl,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry",8.1,167.74,718495,22.69503546099291
84,Furious Seven,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham",7.2,350.03,60746262,32.795605057194464
85,Jurassic World,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer",7.0,652.18,8534501,19.254802076573654
86,Live by Night,Ben Affleck,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina",6.4,10.38,68662,16.798076923076923
87,Avatar,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",7.8,760.51,46991592,16.881789137380192
88,The Hateful Eight,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",7.8,54.12,353019,26.59259259259259
89,The Accountant,Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",7.4,86.2,206379,30.426499032882013
90,Prisoners,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo",8.1,60.96,3694,27.117302052785924
91,Warcraft,Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",7.0,47.17,2021934,18.625044722719142
92,The Help,Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard",8.1,169.71,1326721,18.175595238095237
93,War Dogs,Todd Phillips,"Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner",7.1,43.02,209052,29.840725806451612
94,Avengers: Age of Ultron,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",7.4,458.99,14511709,42.26002467612585
